Normalize: IT Assets,Expiration Date,0.04,No Issue
Normalize: IT Assets,Location,0.05,No Issue
Normalize: IT Assets,Manufacturer Name,0.05,No Issue
Normalize: IT Assets,Product Name,0.08,No Issue
Normalize: IT Assets,Supported OS,0.05,No Issue
Normalize: IT Assets,Last Supported Date,0.06,No Issue
Normalize: IT Assets,Energy Star,0.05,No Issue
Normalize: IT Assets,EPEAT,0.06,No Issue
Normalize: IT Assets,AC Power AVG,0.05,No Issue
Normalize: IT Assets,AC AVG UNIT,0.05,No Issue
Normalize: IT Assets,AC Power Max,0.05,No Issue
Normalize: IT Assets,AC MAX Unit,0.06,No Issue
Normalize: IT Assets,Managed by,0.05,No Issue
Normalize: IT Assets,Manufacturer Name,0.06,No Issue
Normalize: IT Assets,Software Title,0.06,No Issue
Normalize: IT Assets,Family,0.05,No Issue
Normalize: IT Assets,Is Suite,0.05,No Issue
Normalize: IT Assets,PLICSABLE,0.05,No Issue
Normalize: IT Assets,Managed by,0.06,No Issue
Normalize: IT Assets,IND,0.05,No Issue
Normalize: IT Assets,BDNA SW Category,0.06,No Issue
Normalize: IT Assets,BDNA SW Sub Category,0.05,No Issue
Normalize: IT Assets,SW Supplier,0.06,No Issue
Normalize: IT Assets,SW Name,0.06,No Issue
Normalize: IT Assets,Business Unit,0.06,No Issue
Normalize: IT Assets,Department,0.05,No Issue
Normalize: IT Assets,Region,0.08,No Issue
Normalize: IT Assets,Country,0.04,No Issue
Normalize: IT Assets,User_Domain,0.04,No Issue
Normalize: IT Assets,User_Name,0.07,No Issue
Normalize: IT Assets,DEPT1,0.05,No Issue
Normalize: IT Assets,DEPT2,0.06,No Issue
Normalize: IT Assets,SITE1,0.04,No Issue
Normalize: IT Assets,LOC,0.06,No Issue
Normalize: IT Assets,SYS Count_measure,0.62,No Issue
Normalize: IT Assets,SYS Avg CPU (MHz)_measure,0.57,No Issue
Normalize: IT Assets,SYS Avg Number of CPUs_measure,0.58,No Issue
Normalize: IT Assets,SYS Avg Number of Cores_measure,0.58,No Issue
Normalize: IT Assets,SYS Avg RAM (MB)_measure,0.58,No Issue
Normalize: IT Assets,SYS Avg Total HDD (GB)_measure,0.57,No Issue
Normalize: IT Assets,SYS Avg Available HDD (GB)_measure,0.56,No Issue
Normalize: IT Assets,OS Distinct Release Count_measure,0.59,No Issue
Normalize: IT Assets,CPU IBM PVU Count_measure,0.05,No Issue
Normalize: IT Assets,HW Distinct Product Count_measure,0.58,No Issue
Normalize: IT Assets,HW Distinct Model Count_measure,0.56,No Issue
Normalize: IT Assets,HW Minimum price_measure,0.06,No Issue
Normalize: IT Assets,HW Average price_measure,0.59,No Issue
Normalize: IT Assets,HW Maximum price_measure,0.08,No Issue
Normalize: IT Assets,HW AVG Power (W)_measure,0.56,No Issue
Normalize: IT Assets,HW AC Power Avg_measure,0.6,No Issue
Normalize: IT Assets,HW AC Power Max_measure,0.06,No Issue
Normalize: IT Assets,HW AC Heat Diss Avg (BTU/hr)_measure,0.58,No Issue
Normalize: IT Assets,HW AC Heat Diss Max (BTU/hr)_measure,0.57,No Issue
Normalize: IT Assets,HW AC Input Low Voltage Min_measure,0.05,No Issue
Normalize: IT Assets,HW AC Input Low Voltage Max_measure,0.04,No Issue
Normalize: IT Assets,HW AC Input Low Current Min_measure,0.06,No Issue
Normalize: IT Assets,HW AC Input Low Current Max_measure,0.05,No Issue
Normalize: IT Assets,HW AC Input High Voltage Min_measure,0.04,No Issue
Normalize: IT Assets,HW AC Input High Voltage Max_measure,0.04,No Issue
Normalize: IT Assets,HW AC Input High Current Min_measure,0.08,No Issue
Normalize: IT Assets,HW AC Input High Current Max_measure,0.04,No Issue
Normalize: IT Assets,HW AC Frequency Min_measure,0.06,No Issue
Normalize: IT Assets,HW AC Frequency Max_measure,0.59,No Issue
Normalize: IT Assets,HW DC Power Avg_measure,0.59,No Data
Normalize: IT Assets,HW DC Power Max_measure,0.05,No Data
Normalize: IT Assets,HW DC Heat Diss Avg (BTU/hr)_measure,0.59,No Data
Normalize: IT Assets,HW DC Heat Diss Max (BTU/hr)_measure,0.07,No Data
Normalize: IT Assets,HW DC Low Voltage_measure,0.05,No Issue
Normalize: IT Assets,HW DC Low Current_measure,0.06,No Issue
Normalize: IT Assets,HW DC High Voltage_measure,0.07,No Data
Normalize: IT Assets,HW DC High Current_measure,0.06,No Data
Normalize: IT Assets,HW Min Operating Temp (F)_measure,0.05,No Issue
Normalize: IT Assets,HW Max Operating Temp (F)_measure,0.06,No Issue
Normalize: IT Assets,HW Min Non-Operating Temp (F)_measure,0.04,No Issue
Normalize: IT Assets,HW Max Non-Operating Temp (F)_measure,0.06,No Issue
Normalize: IT Assets,HW Min Operating Humidity (%)_measure,0.05,No Issue
Normalize: IT Assets,HW Max Operating Humidity (%)_measure,0.04,No Issue
Normalize: IT Assets,HW Min Non-Operating Humidity (%)_measure,0.06,No Issue
Normalize: IT Assets,HW Max Non-Operating Humidity (%)_measure,0.06,No Issue
Normalize: IT Assets,SW Distinct Product Count_measure,0.59,No Issue
Normalize: IT Assets,SW Distinct Version Count_measure,0.59,No Issue
Normalize: IT Assets,SW Distinct Edition Count_measure,0.56,No Issue
Normalize: IT Assets,SW Distinct Release Count_measure,0.56,No Issue
Normalize: IT Assets,SW Install Count_measure,0.58,No Issue
Normalize: IT Assets,SW Use Count_measure,0.57,No Issue
Normalize: IT Assets,SW Minimum price_measure,0.05,No Issue
Normalize: IT Assets,SW Average price_measure,0.06,No Issue
Normalize: IT Assets,SW Maximum price_measure,0.59,No Issue
Cube,Attribute,Time(second),Error type
Normalize: IT Security,INV Date,0.06,No Issue
Normalize: IT Security,INV Group,0.06,No Issue
Normalize: IT Security,INV ID,0.03,No Issue
Normalize: IT Security,INV Name,0.04,No Issue
Normalize: IT Security,INV Task ID,0.04,No Issue
Normalize: IT Security,INV Task,0.04,No Issue
Normalize: IT Security,INV Data Source,0.05,No Issue
Normalize: IT Security,INV Status,0.05,No Issue
Normalize: IT Security,INV Is Latest?,0.03,No Issue
Normalize: IT Security,SYS Domain,0.04,No Issue
Normalize: IT Security,SYS Hostname,0.59,No Issue
Normalize: IT Security,SYS Serial Number,0.09,No Issue
Normalize: IT Security,SYS Is Virtual Machine?,0.05,No Issue
Normalize: IT Security,SYS Is Virtual Host?,0.04,No Issue
Normalize: IT Security,SYS Is Deduped?,0.03,No Issue
Normalize: IT Security,SYS Is Active?,0.04,No Issue
Normalize: IT Security,SYS CPU Range (Mhz),0.04,No Issue
Normalize: IT Security,SYS CPUs Range,0.04,No Issue
Normalize: IT Security,SYS Cores Range,0.04,No Issue
Normalize: IT Security,SYS RAM Range (MB),0.07,No Issue
Normalize: IT Security,SYS HDD Range (GB),0.04,No Issue
Normalize: IT Security,SYS OS Uptime Range,0.03,No Issue
Normalize: IT Security,SYS User Domain,0.04,No Issue
Normalize: IT Security,SYS User Logon,0.7,No Issue
Normalize: IT Security,SYS Full User Logon,0.57,No Issue
Normalize: IT Security,OS Family,0.03,No Issue
Normalize: IT Security,OS Manufacturer,0.06,No Issue
Normalize: IT Security,OS Name,0.05,No Issue
Normalize: IT Security,OS Major Version,0.06,No Issue
Normalize: IT Security,OS Minor Version,0.58,No Issue
Normalize: IT Security,OS Service Pack,0.05,No Issue
Normalize: IT Security,OS Edition,0.04,No Issue
Normalize: IT Security,OS Is Supported? (calc.),0.04,No Issue
Normalize: IT Security,OS Supported Reason (calc.),0.05,No Issue
Normalize: IT Security,OS Desupported? (calc.),0.04,No Issue
Normalize: IT Security,OS Version Order (calc.),0.03,No Issue
Normalize: IT Security,OS Max Versions (calc.),0.04,No Issue
Normalize: IT Security,OS Versions (calc.),0.04,No Issue
Normalize: IT Security,OS EOL Year (calc.),0.05,No Issue
Normalize: IT Security,OS EOL Quarter (calc.),0.04,No Issue
Normalize: IT Security,OS EOL Month (calc.),0.06,No Issue
Normalize: IT Security,OS EOL Date (calc.),0.05,No Issue
Normalize: IT Security,OS GA Year,0.05,No Issue
Normalize: IT Security,OS GA Quarter,0.05,No Issue
Normalize: IT Security,OS GA Month,0.05,No Issue
Normalize: IT Security,OS GA Date,0.03,No Issue
Normalize: IT Security,OS GA Exception,0.03,No Issue
Normalize: IT Security,OS GA Range (Start),0.04,No Issue
Normalize: IT Security,OS GA Range (End),0.05,No Issue
Normalize: IT Security,OS EOL Year,0.07,No Issue
Normalize: IT Security,OS EOL Quarter,0.04,No Issue
Normalize: IT Security,OS EOL Month,0.04,No Issue
Normalize: IT Security,OS EOL Date,0.06,No Issue
Normalize: IT Security,OS EOL Exception,0.06,No Issue
Normalize: IT Security,OS EOL Range (Start),0.05,No Issue
Normalize: IT Security,OS EOL Range (End),0.04,No Issue
Normalize: IT Security,OS OBS Year,0.08,No Issue
Normalize: IT Security,OS OBS Quarter,0.04,No Issue
Normalize: IT Security,OS OBS Month,0.04,No Issue
Normalize: IT Security,OS OBS Date,0.06,No Issue
Normalize: IT Security,OS OBS Exception,0.03,No Issue
Normalize: IT Security,OS OBS Range (Start),0.05,No Issue
Normalize: IT Security,OS OBS Range (End),0.05,No Issue
Normalize: IT Security,HW Vertical,0.03,No Issue
Normalize: IT Security,HW Category,0.04,No Issue
Normalize: IT Security,HW Subcategory,0.59,No Issue
Normalize: IT Security,HW Vendor Category,0.05,No Issue
Normalize: IT Security,HW Manufacturer,0.04,No Issue
Normalize: IT Security,HW Product,0.57,No Issue
Normalize: IT Security,HW Model,0.05,No Issue
Normalize: IT Security,HW Supported OS,0.04,No Issue
Normalize: IT Security,HW Max CPU sockets,0.04,No Issue
Normalize: IT Security,HW Is Supported? (calc.),0.03,No Issue
Normalize: IT Security,HW Supported Reason (calc.),0.57,No Issue
Normalize: IT Security,HW EOL Year (calc.),0.05,No Issue
Normalize: IT Security,HW EOL Quarter (calc.),0.06,No Issue
Normalize: IT Security,HW EOL Month (calc.),0.04,No Issue
Normalize: IT Security,HW EOL Date (calc.),0.04,No Issue
Normalize: IT Security,HW Intro Year,0.58,No Issue
Normalize: IT Security,HW Intro Quarter,0.05,No Issue
Normalize: IT Security,HW Intro Month,0.05,No Issue
Normalize: IT Security,HW Intro Date,0.05,No Issue
Normalize: IT Security,HW Intro Exception,0.04,No Issue
Normalize: IT Security,HW Intro Range (Start),0.04,No Issue
Normalize: IT Security,HW Intro Range (End),0.04,No Issue
Normalize: IT Security,HW GA Year,0.04,No Issue
Normalize: IT Security,HW GA Quarter,0.06,No Issue
Normalize: IT Security,HW GA Month,0.05,No Issue
Normalize: IT Security,HW GA Date,0.05,No Issue
Normalize: IT Security,HW GA Exception,0.04,No Issue
Normalize: IT Security,HW GA Range (Start),0.05,No Issue
Normalize: IT Security,HW GA Range (End),0.04,No Issue
Normalize: IT Security,HW LastAvail Year,0.04,No Issue
Normalize: IT Security,HW LastAvail Quarter,0.05,No Issue
Normalize: IT Security,HW LastAvail Month,0.58,No Issue
Normalize: IT Security,HW LastAvail Date,0.04,No Issue
Normalize: IT Security,HW LastAvail Exception,0.05,No Issue
Normalize: IT Security,HW LastAvail Range (Start),0.06,No Issue
Normalize: IT Security,HW LastAvail Range (End),0.06,No Issue
Normalize: IT Security,HW OBS Year,0.04,No Issue
Normalize: IT Security,HW OBS Quarter,0.05,No Issue
Normalize: IT Security,HW OBS Month,0.07,No Issue
Normalize: IT Security,HW OBS Date,0.05,No Issue
Normalize: IT Security,HW OBS Exception,0.04,No Issue
Normalize: IT Security,HW OBS Range (Start),0.04,No Issue
Normalize: IT Security,HW OBS Range (End),0.05,No Issue
Normalize: IT Security,SW Vertical,0.6,No Issue
Normalize: IT Security,SW Category,2.16,No Issue
Normalize: IT Security,SW Subcategory,0.58,No Issue
Normalize: IT Security,SW Vendor Category,0.1,No Issue
Normalize: IT Security,SW Manufacturer,0.64,No Issue
Normalize: IT Security,SW Family,0.57,No Issue
Normalize: IT Security,SW Name,0.57,No Issue
Normalize: IT Security,SW Component,0.56,No Issue
Normalize: IT Security,SW Market Version,0.56,No Issue
Normalize: IT Security,SW Version,0.56,No Issue
Normalize: IT Security,SW Service Pack,0.6,No Issue
Normalize: IT Security,SW Edition,0.6,No Issue
Normalize: IT Security,SW Release ID,0.56,No Issue
Normalize: IT Security,SW Is Licensable?,0.05,No Issue
Normalize: IT Security,SW Is Suite?,0.05,No Issue
Normalize: IT Security,SW Suite,0.58,No Issue
Normalize: IT Security,SW Is Suite Component?,0.06,No Issue
Normalize: IT Security,SW Suite Component,0.1,No Issue
Normalize: IT Security,SW Cloud or On-Premise?,0.04,No Issue
Normalize: IT Security,SW On-premise equivalent,2.14,No Issue
Normalize: IT Security,SW Cloud equivalent,0.57,No Issue
Normalize: IT Security,SW User Domain,0.05,No Issue
Normalize: IT Security,SW User Logon,0.57,No Issue
Normalize: IT Security,SW Full User Logon,0.56,No Issue
Normalize: IT Security,SW Is Supported? (calc.),0.04,No Issue
Normalize: IT Security,SW Supported Reason (calc.),0.06,No Issue
Normalize: IT Security,SW Desupported? (calc.),0.06,No Issue
Normalize: IT Security,SW Version Order (calc.),0.08,No Issue
Normalize: IT Security,SW Max Versions (calc.),0.04,No Issue
Normalize: IT Security,SW Versions (calc.),0.59,No Issue
Normalize: IT Security,SW EOL Year (calc.),0.05,No Issue
Normalize: IT Security,SW EOL Quarter (calc.),0.05,No Issue
Normalize: IT Security,SW EOL Month (calc.),0.07,No Issue
Normalize: IT Security,SW EOL Date (calc.),0.67,No Issue
Normalize: IT Security,SW GA Year,0.05,No Issue
Normalize: IT Security,SW GA Quarter,0.04,No Issue
Normalize: IT Security,SW GA Month,0.07,No Issue
Normalize: IT Security,SW GA Date,0.58,No Issue
Normalize: IT Security,SW GA Exception,0.04,No Issue
Normalize: IT Security,SW GA Range (Start),0.06,No Issue
Normalize: IT Security,SW GA Range (End),0.05,No Issue
Normalize: IT Security,SW EOL Year,0.05,No Issue
Normalize: IT Security,SW EOL Quarter,0.05,No Issue
Normalize: IT Security,SW EOL Month,0.06,No Issue
Normalize: IT Security,SW EOL Date,0.62,No Issue
Normalize: IT Security,SW EOL Exception,0.05,No Issue
Normalize: IT Security,SW EOL Range (Start),0.05,No Issue
Normalize: IT Security,SW EOL Range (End),0.05,No Issue
Normalize: IT Security,SW OBS Year,0.05,No Issue
Normalize: IT Security,SW OBS Quarter,0.05,No Issue
Normalize: IT Security,SW OBS Month,0.05,No Issue
Normalize: IT Security,SW OBS Date,0.08,No Issue
Normalize: IT Security,SW OBS Exception,0.04,No Issue
Normalize: IT Security,SW OBS Range (Start),0.05,No Issue
Normalize: IT Security,SW OBS Range (End),0.05,No Issue
Normalize: IT Security,HW CPE Definition,0.06,No Issue
Normalize: IT Security,HW CPE Part,0.05,No Issue
Normalize: IT Security,HW CPE Vendor,0.05,No Issue
Normalize: IT Security,HW CPE Product,0.61,No Issue
Normalize: IT Security,HW CPE Edition,0.04,No Issue
Normalize: IT Security,HW CPE URI,0.58,No Issue
Normalize: IT Security,HW CPE Max CVSS Score,0.06,No Issue
Normalize: IT Security,HW CPE Max CVSS Severity,0.05,No Issue
Normalize: IT Security,HW CVE Count,0.06,No Issue
Normalize: IT Security,SW CPE Definition,0.58,No Issue
Normalize: IT Security,SW CPE Part,0.05,No Issue
Normalize: IT Security,SW CPE Vendor,0.09,No Issue
Normalize: IT Security,SW CPE Product,0.63,No Issue
Normalize: IT Security,SW CPE Edition,0.62,No Issue
Normalize: IT Security,SW CPE URI,0.56,No Issue
Normalize: IT Security,SW CPE Max CVSS Score,0.03,No Issue
Normalize: IT Security,SW CPE Max CVSS Severity,0.04,No Issue
Normalize: IT Security,SW CVE Count,0.08,No Issue
Normalize: IT Security,OS CPE Definition,0.57,No Issue
Normalize: IT Security,OS CPE Part,0.04,No Issue
Normalize: IT Security,OS CPE Vendor,0.06,No Issue
Normalize: IT Security,OS CPE Product,0.05,No Issue
Normalize: IT Security,OS CPE Edition,0.04,No Issue
Normalize: IT Security,OS CPE URI,0.07,No Issue
Normalize: IT Security,OS CPE Max CVSS Score,0.06,No Issue
Normalize: IT Security,OS CPE Max CVSS Severity,0.06,No Issue
Normalize: IT Security,OS CVE Count,0.04,No Issue
Normalize: IT Security,PRI Is Private?,0.05,No Data
Normalize: IT Security,PRI Type,0.07,No Data
Normalize: IT Security,PRI Object,0.05,No Data
Normalize: IT Security,PRI Table,0.06,No Data
Normalize: IT Security,PRI Attribute,0.09,No Data
Normalize: IT Security,Location,0.05,No Issue
Normalize: IT Security,Purchased By,0.05,No Issue
Normalize: IT Security,Model,0.62,No Issue
Normalize: IT Security,CPU Manufacturer,0.05,No Issue
Normalize: IT Security,Num of Cores,0.04,No Issue
Normalize: IT Security,Clock Rate,0.05,No Issue
Normalize: IT Security,Bit Mode,0.05,No Issue
Normalize: IT Security,Num of Threads,0.05,No Issue
Normalize: IT Security,Domain,0.09,No Issue
Normalize: IT Security,ACTIVE,0.03,No Issue
Normalize: IT Security,Owner,0.04,No Issue
Normalize: IT Security,Expiration Date,0.05,No Issue
Normalize: IT Security,Location,0.05,No Issue
Normalize: IT Security,Manufacturer Name,0.06,No Issue
Normalize: IT Security,Product Name,0.04,No Issue
Normalize: IT Security,Supported OS,0.04,No Issue
Normalize: IT Security,Last Supported Date,0.04,No Issue
Normalize: IT Security,Energy Star,0.05,No Issue
Normalize: IT Security,EPEAT,0.05,No Issue
Normalize: IT Security,AC Power AVG,0.06,No Issue
Normalize: IT Security,AC AVG UNIT,0.03,No Issue
Normalize: IT Security,AC Power Max,0.61,No Issue
Normalize: IT Security,AC MAX Unit,0.04,No Issue
Normalize: IT Security,Managed by,0.11,No Issue
Normalize: IT Security,Manufacturer Name,0.03,No Issue
Normalize: IT Security,Software Title,0.05,No Issue
Normalize: IT Security,Family,0.04,No Issue
Normalize: IT Security,Is Suite,0.06,No Issue
Normalize: IT Security,PLICSABLE,0.05,No Issue
Normalize: IT Security,Managed by,0.05,No Issue
Normalize: IT Security,IND,0.22,No Issue
Normalize: IT Security,BDNA SW Category,0.05,No Issue
Normalize: IT Security,BDNA SW Sub Category,0.05,No Issue
Normalize: IT Security,SW Supplier,0.06,No Issue
Normalize: IT Security,SW Name,0.06,No Issue
Normalize: IT Security,Business Unit,0.04,No Issue
Normalize: IT Security,Department,0.05,No Issue
Normalize: IT Security,Region,0.04,No Issue
Normalize: IT Security,Country,0.07,No Issue
Normalize: IT Security,User_Domain,0.05,No Issue
Normalize: IT Security,User_Name,0.04,No Issue
Normalize: IT Security,DEPT1,0.04,No Issue
Normalize: IT Security,DEPT2,0.06,No Issue
Normalize: IT Security,SITE1,0.04,No Issue
Normalize: IT Security,LOC,0.05,No Issue
Normalize: IT Security,SYS Count_measure,0.61,No Issue
Normalize: IT Security,OS Distinct Release Count_measure,0.58,No Issue
Normalize: IT Security,OS Instance CVE Count_measure,0.04,No Issue
Normalize: IT Security,OS High Severity CVE Count_measure,0.06,No Issue
Normalize: IT Security,OS Medium Severity CVE Count_measure,0.05,No Issue
Normalize: IT Security,OS Low Severity CVE Count_measure,0.04,No Issue
Normalize: IT Security,HW Distinct Product Count_measure,0.58,No Issue
Normalize: IT Security,HW Distinct Model Count_measure,0.56,No Issue
Normalize: IT Security,HW Instance CVE Count_measure,0.04,No Issue
Normalize: IT Security,HW High Severity CVE Count_measure,0.04,No Issue
Normalize: IT Security,HW Medium Severity CVE Count_measure,0.07,No Issue
Normalize: IT Security,HW Low Severity CVE Count_measure,0.04,No Issue
Normalize: IT Security,SW Distinct Product Count_measure,0.57,No Issue
Normalize: IT Security,SW Distinct Version Count_measure,0.56,No Issue
Normalize: IT Security,SW Distinct Edition Count_measure,0.58,No Issue
Normalize: IT Security,SW Distinct Release Count_measure,0.57,No Issue
Normalize: IT Security,SW Install Count_measure,0.59,No Issue
Normalize: IT Security,SW Use Count_measure,0.57,No Issue
Normalize: IT Security,SW Instance CVE Count_measure,0.06,No Issue
Normalize: IT Security,SW High Severity CVE Count_measure,0.05,No Issue
Normalize: IT Security,SW Medium Severity CVE Count_measure,0.03,No Issue
Normalize: IT Security,SW Low Severity CVE Count_measure,0.05,No Issue
Cube,Attribute,Time(second),Error type
Normalize: MD Assets,INV Date,0.06,No Issue
Normalize: MD Assets,INV Group,0.05,No Issue
Normalize: MD Assets,INV ID,0.06,No Issue
Normalize: MD Assets,INV Name,0.04,No Issue
Normalize: MD Assets,INV Task ID,0.05,No Issue
Normalize: MD Assets,INV Task,0.05,No Issue
Normalize: MD Assets,INV Data Source,0.06,No Issue
Normalize: MD Assets,INV Status,0.05,No Issue
Normalize: MD Assets,INV Is Latest?,0.04,No Issue
Normalize: MD Assets,SYS Domain,0.59,No Issue
Normalize: MD Assets,SYS Hostname,0.05,No Issue
Normalize: MD Assets,SYS Serial Number,0.07,No Issue
Normalize: MD Assets,SYS Is Virtual Machine?,0.04,No Issue
Normalize: MD Assets,SYS Is Virtual Host?,0.57,No Issue
Normalize: MD Assets,SYS Is Deduped?,0.04,No Issue
Normalize: MD Assets,SYS Is Active?,0.03,No Issue
Normalize: MD Assets,SYS CPU Range (Mhz),0.05,No Issue
Normalize: MD Assets,SYS CPUs Range,0.06,No Issue
Normalize: MD Assets,SYS Cores Range,0.04,No Issue
Normalize: MD Assets,SYS RAM Range (MB),0.04,No Issue
Normalize: MD Assets,SYS HDD Range (GB),0.03,No Issue
Normalize: MD Assets,SYS OS Uptime Range,0.05,No Issue
Normalize: MD Assets,SYS User Domain,0.61,No Issue
Normalize: MD Assets,SYS User Logon,0.04,No Issue
Normalize: MD Assets,SYS Full User Logon,0.05,No Issue
Normalize: MD Assets,HW Vertical,0.05,No Issue
Normalize: MD Assets,HW Category,0.04,No Issue
Normalize: MD Assets,HW Subcategory,0.04,No Issue
Normalize: MD Assets,HW Vendor Category,0.05,No Issue
Normalize: MD Assets,HW Manufacturer,0.04,No Issue
Normalize: MD Assets,HW Product,0.05,No Issue
Normalize: MD Assets,HW Model,0.03,No Issue
Normalize: MD Assets,HW Supported OS,0.04,No Issue
Normalize: MD Assets,HW Max CPU sockets,0.6,No Issue
Normalize: MD Assets,UMDNS Device Code,0.56,No Issue
Normalize: MD Assets,UMDNS Device Description,0.05,No Issue
Normalize: MD Assets,UMDNS Definition,0.04,No Issue
Normalize: MD Assets,UMDNS Level,0.04,No Issue
Normalize: MD Assets,GMDN Code,0.57,No Issue
Normalize: MD Assets,GMDN Preferred Term,0.04,No Issue
Normalize: MD Assets,GMDN Definition,0.05,No Issue
Normalize: MD Assets,GMDN Level,0.03,No Issue
Normalize: MD Assets,Primary DI Number,0.56,No Issue
Normalize: MD Assets,Device Count,0.03,No Issue
Normalize: MD Assets,Package DI Number,0.04,No Issue
Normalize: MD Assets,Quantity per Package,0.06,No Issue
Normalize: MD Assets,Unit Of Use DI Number,0.03,No Issue
Normalize: MD Assets,GUDID URL,0.05,No Issue
Normalize: MD Assets,Device Record Status,0.07,No Issue
Normalize: MD Assets,DI Record Publish Date,0.04,No Issue
Normalize: MD Assets,Commercial Distribute End Date,0.07,No Issue
Normalize: MD Assets,Commercial Distribute Status,0.04,No Issue
Normalize: MD Assets,Device Type,0.03,No Issue
Normalize: MD Assets,Issuing Agency,0.59,No Issue
Normalize: MD Assets,Brand Name,0.05,No Issue
Normalize: MD Assets,Version or Model,0.06,No Issue
Normalize: MD Assets,Catalog Number,0.05,No Issue
Normalize: MD Assets,Company Name,0.04,No Issue
Normalize: MD Assets,Device Description,0.59,No Issue
Normalize: MD Assets,DME Exempt,0.04,No Issue
Normalize: MD Assets,Pre-Market Exempt,0.05,No Issue
Normalize: MD Assets,Device HCTP,0.06,No Issue
Normalize: MD Assets,Device Kit,0.05,No Issue
Normalize: MD Assets,Device Combination Product,0.06,No Issue
Normalize: MD Assets,Single Use,0.04,No Issue
Normalize: MD Assets,Log Batch,0.05,No Issue
Normalize: MD Assets,Serial Number,0.25,No Issue
Normalize: MD Assets,Manufacturer Date,0.04,No Issue
Normalize: MD Assets,Expiration Date,0.05,No Issue
Normalize: MD Assets,Donation ID Number,0.04,No Issue
Normalize: MD Assets,Labeled Contains NRL,0.04,No Issue
Normalize: MD Assets,Labeled Contains No-NRL,0.04,No Issue
Normalize: MD Assets,MRI Safety Status,0.04,No Issue
Normalize: MD Assets,Prescription Use (Rx),0.05,No Issue
Normalize: MD Assets,OTC,0.05,No Issue
Normalize: MD Assets,Phone,0.03,No Issue
Normalize: MD Assets,Email,0.04,No Issue
Normalize: MD Assets,Device Packaged as Sterile,0.04,No Issue
Normalize: MD Assets,Requires Sterilization Prior to Use,0.06,No Issue
Normalize: MD Assets,Sterilization Method,0.05,No Issue
Normalize: MD Assets,FDA Product Class,0.07,No Issue
Normalize: MD Assets,FDA Product Approved Date,0.05,No Issue
Normalize: MD Assets,FDA Product Code,0.05,No Issue
Normalize: MD Assets,FDA Product Code Name,0.03,No Issue
Normalize: MD Assets,FDA Level,0.05,No Issue
Normalize: MD Assets,FDA Recall Class,0.04,No Issue
Normalize: MD Assets,FDA Recall Event ID,0.05,No Issue
Normalize: MD Assets,FDA Recall Number,0.03,No Issue
Normalize: MD Assets,FDA Recall Posted Date,0.04,No Issue
Normalize: MD Assets,FDA Recall URL,0.05,No Issue
Normalize: MD Assets,FDA Reason for Recall,0.05,No Issue
Normalize: MD Assets,FDA Recall Code Info Type,0.6,No Issue
Normalize: MD Assets,FDA Recall Code Info Min,0.04,No Issue
Normalize: MD Assets,FDA Recall Code Info Max,0.06,No Issue
Normalize: MD Assets,FDA Recall Code Info Group,0.06,No Issue
Normalize: MD Assets,Mfr Recall Initiation Date,0.05,No Issue
Normalize: MD Assets,Mfr Recall URL,0.05,No Issue
Normalize: MD Assets,Mfr Recall Reason,0.05,No Issue
Normalize: MD Assets,Mfr Recall Code Info Type,0.04,No Issue
Normalize: MD Assets,Mfr Recall Code Info Min,0.05,No Issue
Normalize: MD Assets,Mfr Recall Code Info Max,0.05,No Issue
Normalize: MD Assets,Mfr Recall Code Info Group,0.07,No Issue
Normalize: MD Assets,HW Is Supported? (calc.),0.05,No Issue
Normalize: MD Assets,HW Supported Reason (calc.),0.05,No Issue
Normalize: MD Assets,HW EOL Year (calc.),0.04,No Issue
Normalize: MD Assets,HW EOL Quarter (calc.),0.04,No Issue
Normalize: MD Assets,HW EOL Date (calc.),0.05,No Issue
Normalize: MD Assets,HW EOL Month (calc.),0.04,No Issue
Normalize: MD Assets,HW Intro Year,0.05,No Issue
Normalize: MD Assets,HW Intro Quarter,0.05,No Issue
Normalize: MD Assets,HW Intro Month,0.05,No Issue
Normalize: MD Assets,HW Intro Date,0.08,No Issue
Normalize: MD Assets,HW Intro Exception,0.05,No Issue
Normalize: MD Assets,HW Intro Range (Start),0.05,No Issue
Normalize: MD Assets,HW Intro Range (End),0.09,No Issue
Normalize: MD Assets,HW GA Year,0.04,No Issue
Normalize: MD Assets,HW GA Quarter,0.05,No Issue
Normalize: MD Assets,HW GA Month,0.05,No Issue
Normalize: MD Assets,HW GA Date,0.06,No Issue
Normalize: MD Assets,HW GA Exception,0.05,No Issue
Normalize: MD Assets,HW GA Range (Start),0.05,No Issue
Normalize: MD Assets,HW GA Range (End),0.05,No Issue
Normalize: MD Assets,HW LastAvail Year,0.05,No Issue
Normalize: MD Assets,HW LastAvail Quarter,0.04,No Issue
Normalize: MD Assets,HW LastAvail Month,0.05,No Issue
Normalize: MD Assets,HW LastAvail Date,0.05,No Issue
Normalize: MD Assets,HW LastAvail Exception,0.06,No Issue
Normalize: MD Assets,HW LastAvail Range (Start),0.08,No Issue
Normalize: MD Assets,HW LastAvail Range (End),0.04,No Issue
Normalize: MD Assets,HW OBS Year,0.04,No Issue
Normalize: MD Assets,HW OBS Quarter,0.04,No Issue
Normalize: MD Assets,HW OBS Month,0.05,No Issue
